Ürün Adı,Resim URL,Kategoriler
Ohne Zucker Hafer,https://images.openfoodfacts.org/images/products/541/118/812/4689/front_en.249.400.jpg,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,Cereais e Batatas,en:Dairy substitutes,Cereais e seus produtos,Substitutos do leite,Bebidas à base de plantas,Leites de planta,Leites de cereais,Bebidas de aveia"
"Coca-Cola 2,5",https://images.openfoodfacts.org/images/products/544/900/001/6645/front_en.66.400.jpg,"Boissons et préparations de boissons,Boissons,Boissons gazeuses,Sodas,Sodas au cola,Boissons avec sucre ajouté"
Tomato Ketchup,https://images.openfoodfacts.org/images/products/000/008/715/7260/front_en.100.400.jpg,"Condimentos,Molhos,Molhos de tomate,Ketchup,en:Tomato Ketchup"
Sprite,https://images.openfoodfacts.org/images/products/544/900/001/2203/front_tr.93.400.jpg,"İçecekler, Gazlı içecekler, Su, en:Artificially sweetened beverages, en:Sodas, Tatlı içecekler"
buono,https://images.openfoodfacts.org/images/products/869/507/708/6648/front_en.14.400.jpg,"Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, en:Bitter çikolata"
SESAM,https://images.openfoodfacts.org/images/products/730/040/011/2734/front_en.28.400.jpg,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Crispbreads"
Milka MMMAX Oreo,https://images.openfoodfacts.org/images/products/762/221/075/0495/front_tr.11.400.jpg,"Atıştırmalıklar, en:Sweet snacks, Kakao ve kakao ürünleri, Bisküviler ve kekler, Bisküvi, Çikolatalar, Çikolatalı bisküvi, Sütlü çikolata, Sütlü çikolatalı bisküvi"
Gold Lungo,https://images.openfoodfacts.org/images/products/000/002/022/5148/front_en.4.400.jpg,"Plant-based foods and beverages, Beverages, Plant-based foods, Hot beverages, Coffees, Capsules, Coffee capsules, Nespresso-compatible coffee capsules, Plant-based foods and beverages  Beverages  Plant-based foods  Hot beverages  Coffees  Capsules  Coffee capsules"
Crackers olive et thym,https://images.openfoodfacts.org/images/products/869/170/708/8068/front_en.9.400.jpg,"Snacks, Salty snacks, Appetizers, Crackers"
Orbit professional strong mint,https://images.openfoodfacts.org/images/products/400/990/053/1221/front_en.4.400.jpg,"Gustări, Gustări dulci, en:Confectioneries, Gumă de mestecat"
